R,전통시장,2130215,대원종합시장,36,126.83648814826167,37.5446474936191
R,전통시장,2130216,화곡중앙시장,284,126.83913502301287,37.53457795868029
R,전통시장,2130213,방신전통시장,312,126.81226229750719,37.5712989645025
R,전통시장,2130214,송화벽화시장(송화골목시장),434,126.83518770974258,37.54939394500927
R,전통시장,2130219,까치산시장,628,126.84738743730836,37.53242651110718
R,전통시장,2130217,화곡본동시장,306,126.84389120115654,37.54340512468601
R,전통시장,2130218,신월중앙시장,72,126.84440224299168,37.55884889535432
R,전통시장,2130211,신정2동 골목시장(오목교중앙시장),104,126.87617818578025,37.520548966715275
R,전통시장,2130212,공항시장,152,126.80875191494817,37.56294111034142
R,전통시장,2130210,목2동시장,398,126.87309180524579,37.54618816349411
R,전통시장,2130204,경창시장,292,126.84213192945685,37.52448178488621
R,전통시장,2130205,신곡종합시장(신월6동 골목시장),240,126.84257524973074,37.51808526253738
R,전통시장,2130202,신영시장,512,126.83580084947815,37.532978599914905
R,전통시장,2130203,서서울 골목형상점가,194,126.8372197858556,37.530818163530476
R,전통시장,2130208,목동깨비시장(목3동시장),636,126.86519996252085,37.54876528295554
R,전통시장,2130209,목사랑시장(목4동시장),264,126.86637390927591,37.53773839108716
R,전통시장,2130206,신정3동 골목시장,88,126.85320732006866,37.51854945606815
R,전통시장,2130207,신정1동 골목시장(신정제일시장),174,126.85423234024334,37.52078521138579
R,전통시장,2130200,신월7동 골목시장(약수시장),122,126.8331078785916,37.52293767543534
R,전통시장,2130201,월정로시장,126,126.83412629359886,37.533021309777844
R,전통시장,2130259,대신시장,114,126.91769254675839,37.511061586108184
R,전통시장,2130257,영등포시장기계공구상가,174,126.91037577070891,37.51951668397602
R,전통시장,2130258,영진시장A동,58,126.91595131087061,37.50043751109364
R,전통시장,2130251,영등포시장지하도상점가,4,126.90597498113492,37.5198826737703
R,전통시장,2130252,영등포로타리지하도상점가,124,126.90624973687235,37.517269983561924
R,전통시장,2130250,삼구시장(로타리상가),84,126.90570319960818,37.520116717814425
R,전통시장,2130255,영등포전통시장,528,126.9084736558968,37.520920789580025
R,전통시장,2130256,신동시장,54,126.90898940984036,37.50608165612272
R,전통시장,2130253,영신상가(제일상가),188,126.90665361939053,37.51994628226015
R,전통시장,2130254,남서울상가,32,126.90692468106978,37.52028887721767
R,전통시장,2130248,영등포역지하도상점가,730,126.90513374824565,37.51422370102126
R,전통시장,2130249,동남상가,276,126.90563472633008,37.520594194555166
R,전통시장,2130246,영등포청과시장(조광시장),708,126.90099541544625,37.52162654974918
R,전통시장,2130247,우리시장,166,126.90503159619341,37.496645011940096
R,전통시장,2130240,영등포유통상가,570,126.89430896064147,37.522287497334275
R,전통시장,2130241,선유도역 골목형상점가,534,126.89574974161324,37.535587557213624
R,전통시장,2130244,대림중앙시장,334,126.89935126221098,37.490819805608076
R,전통시장,2130245,영일시장,350,126.90045822259654,37.5172652446873
R,전통시장,2130242,대림중앙 골목형상점가,140,126.8982441357769,37.49007102124349
R,전통시장,2130243,도림시장,30,126.89848874515984,37.50984830815057
R,전통시장,2130237,박미시장(기능상실),6,126.9051143009567,37.44017874217584
R,전통시장,2130238,은행나무시장,278,126.91009519329991,37.45161650470506
R,전통시장,2130235,대명여울빛거리시장(대명시장),626,126.90227192542963,37.45354747256905
R,전통시장,2130236,비단길현대시장(현대시장),676,126.90279823130282,37.45732314939309
R,전통시장,2130239,양남시장,6,126.89117462764662,37.522852282358734
R,전통시장,2130230,가리봉시장,184,126.88919947441073,37.4815303405525
R,전통시장,2130233,남문시장,298,126.90092244615478,37.4741254470659
R,전통시장,2130234,푸른터시장(기능상실),4,126.90141468436958,37.478072280085044
R,전통시장,2130231,독산동 우시장,598,126.89613956699621,37.46656186365998
R,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),188,126.90031843510026,37.46925948454321
R,전통시장,2130226,고척프라자,74,126.86280405702354,37.50380255195189
R,전통시장,2130227,고척골목시장상점가(그라운드 고척),192,126.86356261355135,37.503352928058604
R,전통시장,2130224,개봉프라자(고척근린시장),72,126.85118130752937,37.50206756201921
R,전통시장,2130225,개봉중앙시장,446,126.85461723928721,37.49147601166598
R,전통시장,2130228,구로시장,202,126.88558173622816,37.48878901642117
R,전통시장,2130229,남구로시장,616,126.88717406636194,37.490115028497314
R,전통시장,2130222,오류시장,182,126.84337825790713,37.49648926103996
R,전통시장,2130223,고척근린시장,366,126.84973358096764,37.5021378097241
R,전통시장,2130220,등마루시장,16,126.86018333315604,37.55669723616936
R,전통시장,2130221,남부골목시장(남부화곡시장),796,126.86057816158355,37.533082530617236
R,전통시장,2130174,연희사러가,60,126.92966308945822,37.56713854877371
R,전통시장,2130175,신촌 상인회(신촌상점가),126,126.93717660901918,37.556474987108516
R,전통시장,2130172,모래내시장(서중시장),330,126.91521666863787,37.57000323337967
R,전통시장,2130173,백련시장,36,126.92311053835193,37.576973327345016
R,전통시장,2130178,이대 앞 스타트업 상점가,386,126.9445307906513,37.559424931778004
A,골목상권,2130179,이북20183도청사,22,126.94502967325094,37.558208819122314
R,전통시장,2130176,유진상가,50,126.94303495561284,37.59159873172202
R,전통시장,2130177,인왕시장(홍제골목형상점가),390,126.94326193149666,37.59091408708685
R,전통시장,2130170,제일시장,880,126.92939624253887,37.60998958809568
R,전통시장,2130171,불광먹자골목 골목형상점가,420,126.93089078651143,37.61045898709825
R,전통시장,2130169,대조시장,408,126.92663293222415,37.60985275417709
R,전통시장,2130163,응암오거리상점가,482,126.91536506752479,37.58890618805821
